-20,412251000000000;-49,971524000000000;4520004;PEQUENA;ATE 9 FUNCIONARIOS (ME) - COMERCIO / SERVICO;236000000;H
-20,425376000000000;-49,975747000000000;3314711;GRANDE;ENTRE 100 E 199 FUNCIONARIOS (MEDIA) - INDUSTRIA;6750000;G
-20,426424000000000;-49,976933000000000;4530706;MÉDIA;ENTRE 20 E 99 FUNCIONARIOS (EPP) - INDUSTRIA;900000;A
-20,422455000000000;-49,979730000000000;8630503;PEQUENA;ENTRE 50 E 199 FUNCIONARIOS (MEDIA) - COMERCIO / SERVICO;6750000;C
-20,417479000000000;-49,993435000000000;4789005;PEQUENA;ATE 5 FUNCIONARIOS (MEI);6250000;D
-20,438454000000000;-49,984516000000000;0151203;MEI;ENTRE 50 E 199 FUNCIONARIOS (MEDIA) - COMERCIO / SERVICO;12125000;E
-20,401873000000000;-49,977395000000000;1069400;PEQUENA;ENTRE 20 E 99 FUNCIONARIOS (EPP) - INDUSTRIA;135000;E
-20,430418000000000;-49,982508000000000;4621400;PEQUENA;ENTRE 20 E 99 FUNCIONARIOS (EPP) - INDUSTRIA;220000;E
-20,391344000000000;-49,968067000000000;2330302;;ENTRE 10 E 49 FUNCIONARIOS (EPP) - COMERCIO / SERVICO;5750000;F
-20,441336000000000;-49,992897000000000;1012101;MICRO;;900000;H
-20,390748000000000;-49,969945000000000;6201501;MEI;ACIMA DE 200 FUNCIONARIOS (GRANDE) - COMERCIO / SERVICO / INDUSTRIA;900000;C
-20,421272000000000;-49,970066000000000;4649402;GRANDE;;4750000;A
-20,436425000000000;-49,977543000000000;1749400;PEQUENA;ENTRE 100 E 199 FUNCIONARIOS (MEDIA) - INDUSTRIA;640000;G
-20,408107000000000;-49,976843000000000;4771704;GRANDE;ATE 9 FUNCIONARIOS (ME) - COMERCIO / SERVICO;7500000;D
-20,408920000000000;-49,961185000000000;6920601;MEI;ENTRE 100 E 199 FUNCIONARIOS (MEDIA) - INDUSTRIA;172000000;C
-20,432375000000000;-49,949742000000000;4923001;PEQUENA;ENTRE 20 E 99 FUNCIONARIOS (EPP) - INDUSTRIA;7500000;
-20,420014000000000;-49,950759000000000;8122200;MEI;ACIMA DE 200 FUNCIONARIOS (GRANDE) - COMERCIO / SERVICO / INDUSTRIA;;F
-20,421950000000000;-49,980870000000000;9001903;MEI;ATE 5 FUNCIONARIOS (MEI);220000;B
-20,408107000000000;-49,976843000000000;4789099;MICRO;ENTRE 100 E 199 FUNCIONARIOS (MEDIA) - INDUSTRIA;900000;H
-20,428452000000000;-49,980888000000000;6619302;;ENTRE 20 E 99 FUNCIONARIOS (EPP) - INDUSTRIA;6750000;B
-20,415878000000000;-49,976537000000000;4789008;GRANDE;ATE 9 FUNCIONARIOS (ME) - COMERCIO / SERVICO;22400000;G
-20,415639000000000;-49,975689000000000;4672900;;ENTRE 50 E 199 FUNCIONARIOS (MEDIA) - COMERCIO / SERVICO;5250000;G
-20,402575000000000;-49,964130000000000;5620102;MEI;ATE 19 FUNCIONARIOS (ME) - INDUSTRIA;72000000;F
-20,400849000000000;-49,965436000000000;5590603;MÉDIA;ACIMA DE 200 FUNCIONARIOS (GRANDE) - COMERCIO / SERVICO / INDUSTRIA;1100000;E
-20,423557000000000;-49,978668000000000;8650003;PEQUENA;ATE 5 FUNCIONARIOS (MEI);185000;A
-20,432296000000000;-49,972873000000000;4754701;;ATE 5 FUNCIONARIOS (MEI);8900000;B
-20,422624000000000;-49,974330000000000;1813099;GRANDE;ENTRE 10 E 49 FUNCIONARIOS (EPP) - COMERCIO / SERVICO;30000000;E
-20,412229000000000;-49,974980000000000;5829800;MEI;ATE 5 FUNCIONARIOS (MEI);120000000;
